DateTime,Landfall,Category,Latitude,Longitude,Max Sustained Windspeed (mph),Min Pressure (mb)
20251021 06:00, ,TS,14.0N,70.0W,40,1003
20251021 12:00, ,TS,14.0N,71.4W,45,1003
20251021 18:00, ,TS,14.0N,72.4W,45,1003
20251022 00:00, ,TS,14.1N,73.3W,45,1003
20251022 06:00, ,TS,14.2N,73.5W,45,1002
20251022 12:00, ,TS,14.3N,73.7W,45,1002
20251022 18:00, ,TS,14.3N,74.1W,45,1002
20251023 00:00, ,TS,14.3N,74.5W,45,1002
20251023 06:00, ,TS,14.7N,74.8W,40,1003
20251023 12:00, ,TS,15.2N,75.0W,40,1003
20251023 18:00, ,TS,15.5N,75.3W,40,1002
20251024 00:00, ,TS,15.7N,75.5W,40,1002
20251024 06:00, ,TS,15.8N,75.3W,40,1002
20251024 12:00, ,TS,15.9N,75.1W,45,1000
20251024 18:00, ,TS,15.9N,74.8W,50,997
20251025 00:00, ,TS,16.1N,74.7W,55,993
20251025 06:00, ,TS,16.3N,74.7W,60,986
20251025 12:00, ,TS,16.4N,74.9W,60,984
20251025 18:00, ,HU,16.4N,75.3W,75,976
20251026 00:00, ,HU,16.4N,75.7W,90,971
20251026 06:00, ,HU,16.3N,76.0W,105,958
20251026 12:00, ,HU,16.3N,76.4W,115,952
20251026 18:00, ,HU,16.3N,76.9W,120,944
20251027 00:00, ,HU,16.3N,77.3W,125,934
20251027 06:00, ,HU,16.3N,77.7W,135,923
20251027 12:00, ,HU,16.3N,78.0W,145,912
20251027 18:00, ,HU,16.4N,78.3W,155,906
20251028 00:00, ,HU,16.5N,78.6W,155,909
20251028 06:00, ,HU,16.9N,78.4W,155,900
20251028 12:00, ,HU,17.5N,78.1W,165,892
20251028 17:25,L,HU,18.1N,78.0W,160,897
20251028 18:00, ,HU,18.2N,78.0W,145,910
20251029 00:00, ,HU,18.8N,77.1W,105,953
20251029 06:00, ,HU,19.7N,76.4W,105,952
20251029 07:20,L,HU,20.0N,76.2W,100,954
20251029 12:00, ,HU,20.9N,75.8W,85,968
20251029 18:00, ,HU,22.1N,75.4W,80,972
20251029 22:15,L,HU,23.1N,75.0W,80,972
20251030 00:00, ,HU,23.5N,74.8W,80,970
20251030 02:00,L,HU,24.0N,74.5W,80,970
20251030 06:00, ,HU,25.0N,73.8W,85,968
20251030 12:00, ,HU,26.7N,72.7W,90,965
20251030 18:00, ,HU,28.9N,70.9W,85,967
20251031 00:00, ,HU,31.3N,68.7W,80,970
20251031 06:00, ,HU,34.5N,65.5W,75,972
20251031 12:00, ,EX,37.7N,62.1W,75,972
20251031 18:00, ,EX,40.6N,58.9W,70,972
20251101 00:00, ,EX,43.7N,56.0W,70,971
20251101 06:00, ,EX,46.6N,51.3W,65,968
20251101 06:00, ,EX,46.6S,51.3E,65,968
